0	0	0
0	1	0
0	2	0.104397
0	3	0.0589684
0	4	0.125043
0	5	0.104665
0	6	0.0649893
0	7	0.117166
0	8	0.0288177
0	9	0.0481719
0	10	0.0558412
0	11	0.0634752
0	12	0.107333
0	13	0.101961
0	14	0.0612717
0	15	0.105102
0	16	0.0254784
0	17	0.0671359
0	18	0.0753357
0	19	0.0933714
1	1	0
1	2	0.0881926
1	3	0.0597173
1	4	0.109493
1	5	0.104639
1	6	0.0442385
1	7	0.0811251
1	8	0.0330558
1	9	0.0400386
1	10	0.0471524
1	11	0.0459638
1	12	0.0998382
1	13	0.0858416
1	14	0.0404591
1	15	0.0968542
1	16	0.0206984
1	17	0.0434161
1	18	0.0724952
1	19	0.0888728
2	2	0
2	3	0
2	4	0.0944659
2	5	0.0737423
2	6	0.039674
2	7	0.0706947
2	8	0.0193492
2	9	0.0355458
2	10	0.0391299
2	11	0.0411593
2	12	0.0715026
2	13	0.0620134
2	14	0.0422764
2	15	0.0672379
2	16	0.0183246
2	17	0.0386586
2	18	0.0554474
2	19	0.0635051
3	3	0
3	4	0.0460839
3	5	0.0417495
3	6	0.0289766
3	7	0.0485629
3	8	0.0134431
3	9	0.0251113
3	10	0.0201128
3	11	0.0240302
3	12	0.0667887
3	13	0.0515498
3	14	0.0208379
3	15	0.0416655
3	16	0.00923464
3	17	0.0239101
3	18	0.0330987
3	19	0.0445512
4	4	0
4	5	0
4	6	0.0627868
4	7	0.1044
4	8	0.0240855
4	9	0.0524251
4	10	0.0436841
4	11	0.0542501
4	12	0.103663
4	13	0.0902105
4	14	0.0503515
4	15	0.0819404
4	16	0.0210872
4	17	0.0485731
4	18	0.0781087
4	19	0.0949597
5	5	0
5	6	0.0397077
5	7	0.0843414
5	8	0.0234614
5	9	0.0357685
5	10	0.0442232
5	11	0.0457969
5	12	0.0744176
5	13	0.0657993
5	14	0.0334914
5	15	0.0703876
5	16	0.0198595
5	17	0.0443844
5	18	0.058326
5	19	0.0798155
6	6	0
6	7	0
6	8	0.0105199
6	9	0.0230687
6	10	0.0253661
6	11	0.0269963
6	12	0.0462973
6	13	0.0409997
6	14	0.0218027
6	15	0.0378679
6	16	0.0107891
6	17	0.025741
6	18	0.0314611
6	19	0.0397451
7	7	0
7	8	0.0186893
7	9	0.0363226
7	10	0.0395295
7	11	0.0450693
7	12	0.0818399
7	13	0.0722089
7	14	0.0388283
7	15	0.070313
7	16	0.0180836
7	17	0.0460549
7	18	0.060291
7	19	0.0719697
8	8	0
8	9	0
8	10	0.0108449
8	11	0.0106555
8	12	0.0229915
8	13	0.0177332
8	14	0.00912231
8	15	0.0198502
8	16	0.00512601
8	17	0.0102955
8	18	0.0143705
8	19	0.0190916
9	9	0
9	10	0.0197085
9	11	0.0195261
9	12	0.044849
9	13	0.0422086
9	14	0.0220569
9	15	0.0346682
9	16	0.0100166
9	17	0.0236153
9	18	0.0284344
9	19	0.0334475
10	10	0
10	11	0
10	12	0.0452899
10	13	0.0362136
10	14	0.0188397
10	15	0.0351971
10	16	0.010504
10	17	0.0235258
10	18	0.0265223
10	19	0.0342209
11	11	0
11	12	0.0429253
11	13	0.0380707
11	14	0.0226538
11	15	0.0376763
11	16	0.0102168
11	17	0.0247033
11	18	0.0286011
11	19	0.0367642
12	12	0
12	13	0
12	14	0.0431763
12	15	0.0725481
12	16	0.0207336
12	17	0.0466693
12	18	0.0736987
12	19	0.0893199
13	13	0
13	14	0.0378942
13	15	0.0675635
13	16	0.01695
13	17	0.0440318
13	18	0.0551653
13	19	0.069043
14	14	0
14	15	0
14	16	0.0101461
14	17	0.0232581
14	18	0.0305926
14	19	0.0364132
15	15	0
15	16	0.0167249
15	17	0.0386391
15	18	0.0533226
15	19	0.0687515
16	16	0
16	17	0
16	18	0.0142171
16	19	0.0167754
17	17	0
17	18	0.0340732
17	19	0.0451773
18	18	0
18	19	0
19	19	0
